checking_status,duration,credit_history,purpose,credit_amount,savings_status,employment,installment_commitment,personal_status,other_parties,residence_since,property_magnitude,age,other_payment_plans,housing,existing_credits,job,num_dependents,own_telephone,foreign_worker,class
no checking account,12,existing paid back,radio/tv,1262,< 100 DM,1 <= x < 4 yrs,3,male:single,none,2,car,25,none,own,1,skilled,1,none,yes,Good Risk
no checking account,18,existing paid back,car (used),3378,no savings,1 <= x < 4 yrs,2,male:single,none,1,life insurance,31,none,own,1,skilled,1,yes,yes,Good Risk
0 <= x < 200 DM,36,delay in past,car (new),2225,< 100 DM,>= 7 yrs,4,male:single,none,4,no property,57,bank,for free,2,skilled,1,yes,yes,Bad Risk
no checking account,6,all paid back here,car (new),783,no savings,1 <= x < 4 yrs,1,male:single,guarantor,2,real estate,26,stores,own,1,unskilled resident,2,none,yes,Good Risk
0 <= x < 200 DM,12,existing paid back,radio/tv,6468,no savings,unemployed,2,male:single,none,1,no property,52,none,own,1,high qual/mgmt,1,yes,yes,Bad Risk
no checking account,36,critical account,radio/tv,9566,< 100 DM,1 <= x < 4 yrs,2,female:div/dep/mar,none,2,car,31,stores,own,2,skilled,1,none,yes,Good Risk
>= 200 DM,18,existing paid back,car (new),1961,< 100 DM,>= 7 yrs,3,female:div/dep/mar,none,2,car,23,none,own,1,high qual/mgmt,1,none,yes,Good Risk
< 0 DM,36,critical account,furniture/equip,6229,< 100 DM,< 1 yr,4,female:div/dep/mar,co-applicant,4,no property,23,none,rent,2,unskilled resident,1,yes,yes,Bad Risk
0 <= x < 200 DM,9,existing paid back,business,1391,< 100 DM,1 <= x < 4 yrs,2,male:mar/wid,none,1,real estate,27,bank,own,1,skilled,1,yes,yes,Good Risk
0 <= x < 200 DM,15,critical account,radio/tv,1537,no savings,>= 7 yrs,4,male:single,guarantor,4,real estate,50,none,own,2,skilled,1,yes,yes,Good Risk
0 <= x < 200 DM,36,no credits/all paid,business,1953,< 100 DM,>= 7 yrs,4,male:single,none,4,no property,61,none,for free,1,high qual/mgmt,1,yes,yes,Bad Risk
0 <= x < 200 DM,48,no credits/all paid,business,14421,< 100 DM,1 <= x < 4 yrs,2,male:single,none,2,car,25,none,own,1,skilled,1,yes,yes,Bad Risk
no checking account,24,existing paid back,radio/tv,3181,< 100 DM,< 1 yr,4,female:div/dep/mar,none,4,life insurance,26,none,own,1,skilled,1,yes,yes,Good Risk
no checking account,27,existing paid back,repairs,5190,no savings,>= 7 yrs,4,male:single,none,4,life insurance,48,none,own,4,skilled,2,yes,yes,Good Risk
no checking account,12,existing paid back,radio/tv,2171,< 100 DM,< 1 yr,2,female:div/dep/mar,none,2,car,29,bank,own,1,skilled,1,none,yes,Good Risk
0 <= x < 200 DM,12,existing paid back,car (new),1007,>= 1000 DM,1 <= x < 4 yrs,4,male:mar/wid,none,1,real estate,22,none,own,1,skilled,1,none,yes,Good Risk
no checking account,36,existing paid back,education,1819,< 100 DM,1 <= x < 4 yrs,4,male:single,none,4,no property,37,stores,for free,1,skilled,1,yes,yes,Bad Risk
no checking account,36,existing paid back,radio/tv,2394,no savings,1 <= x < 4 yrs,4,female:div/dep/mar,none,4,car,25,none,own,1,skilled,1,none,yes,Good Risk
no checking account,36,existing paid back,car (used),8133,< 100 DM,1 <= x < 4 yrs,1,female:div/dep/mar,none,2,life insurance,30,bank,own,1,skilled,1,none,yes,Good Risk
no checking account,7,critical account,radio/tv,730,no savings,>= 7 yrs,4,male:single,none,2,life insurance,46,none,rent,2,unskilled resident,1,yes,yes,Good Risk
< 0 DM,8,critical account,others,1164,< 100 DM,>= 7 yrs,3,male:single,none,4,no property,51,bank,for free,2,high qual/mgmt,2,yes,yes,Good Risk
0 <= x < 200 DM,42,critical account,business,5954,< 100 DM,4 <= x < 7 yrs,2,female:div/dep/mar,none,1,real estate,41,bank,own,2,unskilled resident,1,none,yes,Good Risk
< 0 DM,36,existing paid back,education,1977,no savings,>= 7 yrs,4,male:single,none,4,no property,40,none,own,1,high qual/mgmt,1,yes,yes,Bad Risk
< 0 DM,12,critical account,car (used),1526,< 100 DM,>= 7 yrs,4,male:single,none,4,no property,66,none,for free,2,high qual/mgmt,1,none,yes,Good Risk
< 0 DM,42,existing paid back,radio/tv,3965,< 100 DM,< 1 yr,4,male:single,none,3,car,34,none,own,1,skilled,1,none,yes,Bad Risk
0 <= x < 200 DM,11,delay in past,radio/tv,4771,< 100 DM,4 <= x < 7 yrs,2,male:single,none,4,life insurance,51,none,own,1,skilled,1,none,yes,Good Risk
no checking account,54,no credits/all paid,car (used),9436,no savings,1 <= x < 4 yrs,2,male:single,none,2,life insurance,39,none,own,1,unskilled resident,2,none,yes,Good Risk
0 <= x < 200 DM,30,existing paid back,furniture/equip,3832,< 100 DM,< 1 yr,2,male:mar/wid,none,1,life insurance,22,none,own,1,skilled,1,none,yes,Good Risk
no checking account,24,existing paid back,radio/tv,5943,no savings,< 1 yr,1,female:div/dep/mar,none,1,car,44,none,own,2,skilled,1,yes,yes,Bad Risk
no checking account,15,existing paid back,radio/tv,1213,500 <= x < 1000 DM,>= 7 yrs,4,male:single,none,3,life insurance,47,stores,own,1,skilled,1,yes,yes,Good Risk
no checking account,18,existing paid back,business,1568,100 <= x < 500 DM,1 <= x < 4 yrs,3,female:div/dep/mar,none,4,life insurance,24,none,rent,1,unskilled resident,1,none,yes,Good Risk
< 0 DM,24,existing paid back,others,1755,< 100 DM,>= 7 yrs,4,female:div/dep/mar,guarantor,4,real estate,58,none,own,1,unskilled resident,1,yes,yes,Good Risk
< 0 DM,10,existing paid back,radio/tv,2315,< 100 DM,>= 7 yrs,3,male:single,none,4,real estate,52,none,own,1,unskilled resident,1,none,yes,Good Risk
no checking account,12,critical account,business,1412,< 100 DM,1 <= x < 4 yrs,4,female:div/dep/mar,guarantor,2,real estate,29,none,own,2,high qual/mgmt,1,yes,yes,Good Risk
0 <= x < 200 DM,18,critical account,furniture/equip,1295,< 100 DM,< 1 yr,4,female:div/dep/mar,none,1,life insurance,27,none,own,2,skilled,1,none,yes,Good Risk
0 <= x < 200 DM,36,existing paid back,education,12612,100 <= x < 500 DM,1 <= x < 4 yrs,1,male:single,none,4,no property,47,none,for free,1,skilled,2,yes,yes,Bad Risk
< 0 DM,18,existing paid back,car (new),2249,100 <= x < 500 DM,4 <= x < 7 yrs,4,male:single,none,3,car,30,none,own,1,high qual/mgmt,2,yes,yes,Good Risk
< 0 DM,12,no credits/all paid,repairs,1108,< 100 DM,4 <= x < 7 yrs,4,male:single,none,3,real estate,28,none,own,2,skilled,1,none,yes,Bad Risk
no checking account,12,critical account,radio/tv,618,< 100 DM,>= 7 yrs,4,male:single,none,4,real estate,56,none,own,1,skilled,1,none,yes,Good Risk
< 0 DM,12,critical account,car (used),1409,< 100 DM,>= 7 yrs,4,male:single,none,3,real estate,54,none,own,1,skilled,1,none,yes,Good Risk
no checking account,12,critical account,radio/tv,797,no savings,>= 7 yrs,4,female:div/dep/mar,none,3,life insurance,33,bank,own,1,unskilled resident,2,none,yes,Bad Risk
>= 200 DM,24,critical account,furniture/equip,3617,no savings,>= 7 yrs,4,male:single,co-applicant,4,no property,20,none,rent,2,skilled,1,none,yes,Good Risk
0 <= x < 200 DM,12,existing paid back,car (new),1318,>= 1000 DM,>= 7 yrs,4,male:single,none,4,real estate,54,none,own,1,skilled,1,yes,yes,Good Risk
0 <= x < 200 DM,54,no credits/all paid,business,15945,< 100 DM,< 1 yr,3,male:single,none,4,no property,58,none,rent,1,skilled,1,yes,yes,Bad Risk
no checking account,12,critical account,education,2012,no savings,4 <= x < 7 yrs,4,female:div/dep/mar,none,2,car,61,none,own,1,skilled,1,none,yes,Good Risk
0 <= x < 200 DM,18,existing paid back,business,2622,100 <= x < 500 DM,1 <= x < 4 yrs,4,male:single,none,4,car,34,none,own,1,skilled,1,none,yes,Good Risk
0 <= x < 200 DM,36,critical account,radio/tv,2337,< 100 DM,>= 7 yrs,4,male:single,none,4,real estate,36,none,own,1,skilled,1,none,yes,Good Risk
0 <= x < 200 DM,20,delay in past,car (used),7057,no savings,4 <= x < 7 yrs,3,male:single,none,4,life insurance,36,bank,rent,2,high qual/mgmt,2,yes,yes,Good Risk
no checking account,24,existing paid back,car (new),1469,100 <= x < 500 DM,>= 7 yrs,4,male:mar/wid,none,4,real estate,41,none,rent,1,unskilled resident,1,none,yes,Good Risk
0 <= x < 200 DM,36,existing paid back,radio/tv,2323,< 100 DM,4 <= x < 7 yrs,4,male:single,none,4,car,24,none,rent,1,skilled,1,none,yes,Good Risk
no checking account,6,delay in past,radio/tv,932,< 100 DM,1 <= x < 4 yrs,3,female:div/dep/mar,none,2,real estate,24,none,own,1,skilled,1,none,yes,Good Risk
0 <= x < 200 DM,9,critical account,furniture/equip,1919,< 100 DM,4 <= x < 7 yrs,4,male:single,none,3,car,35,none,rent,1,skilled,1,yes,yes,Good Risk
no checking account,12,existing paid back,car (used),2445,no savings,< 1 yr,2,male:mar/wid,none,4,car,26,none,rent,1,skilled,1,yes,yes,Good Risk
0 <= x < 200 DM,24,critical account,others,11938,< 100 DM,1 <= x < 4 yrs,2,male:single,co-applicant,3,car,39,none,own,2,high qual/mgmt,2,yes,yes,Bad Risk
no checking account,18,all paid back here,car (new),6458,< 100 DM,>= 7 yrs,2,male:single,none,4,no property,39,bank,own,2,high qual/mgmt,2,yes,yes,Bad Risk
0 <= x < 200 DM,12,existing paid back,car (new),6078,< 100 DM,4 <= x < 7 yrs,2,male:single,none,2,car,32,none,own,1,skilled,1,none,yes,Good Risk
< 0 DM,24,existing paid back,furniture/equip,7721,no savings,< 1 yr,1,female:div/dep/mar,none,2,life insurance,30,none,own,1,skilled,1,yes,no,Good Risk
0 <= x < 200 DM,14,existing paid back,business,1410,500 <= x < 1000 DM,>= 7 yrs,1,male:mar/wid,none,2,real estate,35,none,own,1,skilled,1,yes,yes,Good Risk
0 <= x < 200 DM,6,delay in past,business,1449,100 <= x < 500 DM,>= 7 yrs,1,male:divorced,none,2,car,31,bank,own,2,skilled,2,none,yes,Good Risk
>= 200 DM,15,existing paid back,education,392,< 100 DM,< 1 yr,4,female:div/dep/mar,none,4,life insurance,23,none,rent,1,skilled,1,yes,yes,Good Risk
0 <= x < 200 DM,18,existing paid back,car (new),6260,< 100 DM,4 <= x < 7 yrs,3,male:single,none,3,real estate,28,none,rent,1,unskilled resident,1,none,yes,Good Risk
no checking account,36,critical account,car (new),7855,< 100 DM,1 <= x < 4 yrs,4,female:div/dep/mar,none,2,real estate,25,stores,own,2,skilled,1,yes,yes,Bad Risk
< 0 DM,12,existing paid back,radio/tv,1680,500 <= x < 1000 DM,>= 7 yrs,3,male:mar/wid,none,1,real estate,35,none,own,1,skilled,1,none,yes,Good Risk
no checking account,48,critical account,radio/tv,3578,no savings,>= 7 yrs,4,male:single,none,1,real estate,47,none,own,1,skilled,1,yes,yes,Good Risk
< 0 DM,42,existing paid back,radio/tv,7174,no savings,4 <= x < 7 yrs,4,female:div/dep/mar,none,3,car,30,none,own,1,high qual/mgmt,1,yes,yes,Bad Risk
< 0 DM,10,critical account,furniture/equip,2132,no savings,< 1 yr,2,female:div/dep/mar,co-applicant,3,real estate,27,none,rent,2,skilled,1,none,no,Good Risk
< 0 DM,33,critical account,furniture/equip,4281,500 <= x < 1000 DM,1 <= x < 4 yrs,1,female:div/dep/mar,none,4,car,23,none,own,2,skilled,1,none,yes,Bad Risk
0 <= x < 200 DM,12,critical account,car (new),2366,500 <= x < 1000 DM,4 <= x < 7 yrs,3,male:divorced,none,3,car,36,none,own,1,high qual/mgmt,1,yes,yes,Good Risk
< 0 DM,21,existing paid back,radio/tv,1835,< 100 DM,1 <= x < 4 yrs,3,female:div/dep/mar,none,2,real estate,25,none,own,2,skilled,1,yes,yes,Bad Risk
no checking account,24,critical account,car (used),3868,< 100 DM,>= 7 yrs,4,female:div/dep/mar,none,2,car,41,none,rent,2,high qual/mgmt,1,yes,yes,Good Risk
no checking account,12,existing paid back,furniture/equip,1768,< 100 DM,1 <= x < 4 yrs,3,male:single,none,2,real estate,24,none,rent,1,unskilled resident,1,none,yes,Good Risk
>= 200 DM,10,critical account,car (new),781,< 100 DM,>= 7 yrs,4,male:single,none,4,no property,63,none,for free,2,skilled,1,yes,yes,Good Risk
0 <= x < 200 DM,18,existing paid back,furniture/equip,1924,no savings,< 1 yr,4,female:div/dep/mar,none,3,real estate,27,none,rent,1,skilled,1,none,yes,Bad Risk
< 0 DM,12,critical account,car (new),2121,< 100 DM,1 <= x < 4 yrs,4,male:single,none,2,life insurance,30,none,own,2,skilled,1,none,yes,Good Risk
< 0 DM,12,existing paid back,radio/tv,701,< 100 DM,1 <= x < 4 yrs,4,male:mar/wid,none,2,real estate,40,none,own,1,unskilled resident,1,none,yes,Good Risk
0 <= x < 200 DM,12,existing paid back,repairs,639,< 100 DM,1 <= x < 4 yrs,4,male:single,none,2,car,30,none,own,1,skilled,1,none,yes,Bad Risk
0 <= x < 200 DM,12,critical account,car (used),1860,< 100 DM,unemployed,4,male:single,none,2,car,34,none,own,2,high qual/mgmt,1,yes,yes,Good Risk
< 0 DM,12,critical account,car (new),3499,< 100 DM,1 <= x < 4 yrs,3,female:div/dep/mar,co-applicant,2,real estate,29,none,own,2,skilled,1,none,yes,Bad Risk
0 <= x < 200 DM,48,existing paid back,car (new),8487,no savings,4 <= x < 7 yrs,1,female:div/dep/mar,none,2,car,24,none,own,1,skilled,1,none,yes,Good Risk
< 0 DM,36,delay in past,education,6887,< 100 DM,1 <= x < 4 yrs,4,male:single,none,3,life insurance,29,stores,own,1,skilled,1,yes,yes,Bad Risk
no checking account,15,existing paid back,furniture/equip,2708,< 100 DM,< 1 yr,2,male:single,none,3,life insurance,27,bank,own,2,unskilled resident,1,none,yes,Good Risk
no checking account,18,existing paid back,furniture/equip,1984,< 100 DM,1 <= x < 4 yrs,4,male:single,none,4,no property,47,bank,for free,2,skilled,1,none,yes,Good Risk
no checking account,60,existing paid back,radio/tv,10144,100 <= x < 500 DM,4 <= x < 7 yrs,2,female:div/dep/mar,none,4,real estate,21,none,own,1,skilled,1,yes,yes,Good Risk
no checking account,12,critical account,radio/tv,1240,no savings,>= 7 yrs,4,female:div/dep/mar,none,2,real estate,38,none,own,2,skilled,1,yes,yes,Good Risk
no checking account,27,delay in past,car (used),8613,>= 1000 DM,1 <= x < 4 yrs,2,male:single,none,2,car,27,none,own,2,skilled,1,none,yes,Good Risk
0 <= x < 200 DM,12,existing paid back,radio/tv,766,500 <= x < 1000 DM,1 <= x < 4 yrs,4,male:single,none,3,real estate,66,none,own,1,unskilled resident,1,none,yes,Bad Risk
0 <= x < 200 DM,15,critical account,radio/tv,2728,no savings,4 <= x < 7 yrs,4,male:single,guarantor,2,real estate,35,bank,own,3,skilled,1,yes,yes,Good Risk
>= 200 DM,12,existing paid back,radio/tv,1881,< 100 DM,1 <= x < 4 yrs,2,female:div/dep/mar,none,2,car,44,none,rent,1,unskilled resident,1,yes,yes,Good Risk
>= 200 DM,6,existing paid back,car (new),709,>= 1000 DM,< 1 yr,2,male:mar/wid,none,2,real estate,27,none,own,1,unemp/unskilled non-res,1,none,no,Good Risk
0 <= x < 200 DM,36,existing paid back,radio/tv,4795,< 100 DM,< 1 yr,4,female:div/dep/mar,none,1,no property,30,none,own,1,high qual/mgmt,1,yes,yes,Good Risk
< 0 DM,27,existing paid back,radio/tv,3416,< 100 DM,1 <= x < 4 yrs,3,male:single,none,2,car,27,none,own,1,high qual/mgmt,1,none,yes,Good Risk
< 0 DM,18,existing paid back,furniture/equip,2462,< 100 DM,1 <= x < 4 yrs,2,male:single,none,2,car,22,none,own,1,skilled,1,none,yes,Bad Risk
no checking account,21,critical account,furniture/equip,2288,< 100 DM,< 1 yr,4,female:div/dep/mar,none,4,life insurance,23,none,own,1,skilled,1,yes,yes,Good Risk
0 <= x < 200 DM,48,all paid back here,business,3566,100 <= x < 500 DM,4 <= x < 7 yrs,4,male:single,none,2,car,30,none,own,1,skilled,1,none,yes,Good Risk
< 0 DM,6,critical account,car (new),860,< 100 DM,>= 7 yrs,1,female:div/dep/mar,none,4,no property,39,none,own,2,skilled,1,yes,yes,Good Risk
no checking account,12,critical account,car (new),682,100 <= x < 500 DM,4 <= x < 7 yrs,4,female:div/dep/mar,none,3,car,51,none,own,2,skilled,1,yes,yes,Good Risk
< 0 DM,36,critical account,furniture/equip,5371,< 100 DM,1 <= x < 4 yrs,3,male:single,guarantor,2,life insurance,28,none,own,2,skilled,1,none,yes,Good Risk
no checking account,18,critical account,radio/tv,1582,>= 1000 DM,>= 7 yrs,4,male:single,none,4,car,46,none,own,2,skilled,1,none,yes,Good Risk
no checking account,6,existing paid back,radio/tv,1346,100 <= x < 500 DM,>= 7 yrs,2,male:single,none,4,no property,42,bank,for free,1,skilled,2,yes,yes,Good Risk
no checking account,10,existing paid back,radio/tv,1924,< 100 DM,1 <= x < 4 yrs,1,male:single,none,4,life insurance,38,none,own,1,skilled,1,yes,no,Good Risk
>= 200 DM,36,existing paid back,radio/tv,5848,< 100 DM,1 <= x < 4 yrs,4,male:single,none,1,car,24,none,own,1,skilled,1,none,yes,Good Risk
0 <= x < 200 DM,24,critical account,car (used),7758,>= 1000 DM,>= 7 yrs,2,female:div/dep/mar,none,4,no property,29,none,rent,1,skilled,1,none,yes,Good Risk
0 <= x < 200 DM,24,delay in past,business,6967,100 <= x < 500 DM,4 <= x < 7 yrs,4,male:single,none,4,car,36,none,rent,1,high qual/mgmt,1,yes,yes,Good Risk
< 0 DM,12,existing paid back,furniture/equip,1282,< 100 DM,1 <= x < 4 yrs,2,female:div/dep/mar,none,4,car,20,none,rent,1,skilled,1,none,yes,Bad Risk
< 0 DM,9,critical account,repairs,1288,100 <= x < 500 DM,>= 7 yrs,3,male:single,guarantor,4,real estate,48,none,own,2,skilled,2,none,no,Good Risk
< 0 DM,12,all paid back here,retraining,339,< 100 DM,>= 7 yrs,4,male:mar/wid,none,1,car,45,bank,own,1,unskilled resident,1,none,yes,Good Risk
0 <= x < 200 DM,24,existing paid back,car (new),3512,100 <= x < 500 DM,4 <= x < 7 yrs,2,male:single,none,3,car,38,bank,own,2,skilled,1,yes,yes,Good Risk
no checking account,6,critical account,radio/tv,1898,no savings,1 <= x < 4 yrs,1,male:single,none,2,real estate,34,none,own,2,unskilled resident,2,none,yes,Good Risk
no checking account,24,critical account,radio/tv,2872,100 <= x < 500 DM,>= 7 yrs,3,male:single,none,4,real estate,36,none,own,1,skilled,2,yes,yes,Good Risk
no checking account,18,critical account,car (new),1055,< 100 DM,< 1 yr,4,female:div/dep/mar,none,1,life insurance,30,none,own,2,skilled,1,none,yes,Good Risk
